Adults,Children,Housing,Child Care,Food,Transportation,Health Care,Miscellaneous,Taxes,Earned Income Tax Credit (-),Child Care Tax Credit (-),Child Tax Credit (-),Hourly,Monthly,Annual,Monthly Savings Contribution
5,10,2025.5,4853.93,3623.61,445.35,864.77,1181.31,4012,0,-100,-833.33,45.66,16073.13,192877.52,353.41
6,0,1056.35,0,2521.78,438.87,700.13,471.71,1318.19,0,0,0,18.49,6507.04,78084.48,67.08
6,1,1265.94,485.39,2552.33,445.35,722.14,547.11,1519.91,0,-50,-83.33,21.04,7404.84,88858.03,92.21
6,2,1265.94,970.79,2715.6,445.35,744.15,614.18,1688.19,0,-100,-166.67,23.23,8177.52,98130.24,114.64
6,3,1455.83,1456.18,2878.88,445.35,766.16,700.24,1995.85,0,-100,-250,26.56,9348.47,112181.7,143.4
6,4,1455.83,1941.57,3042.15,445.35,788.17,767.31,2195.6,0,-100,-333.33,28.98,10202.63,122431.57,192.75
6,5,1645.72,2426.96,3205.42,445.35,810.17,853.36,2521.3,0,-100,-416.67,32.36,11391.62,136699.42,226.17
6,6,1645.72,2912.36,3368.69,445.35,832.18,920.43,2804.92,0,-100,-500,35.03,12329.65,147955.76,252.25
6,7,1835.61,3397.75,3531.97,445.35,854.19,1006.49,3220.83,0,-100,-583.33,38.66,13608.85,163306.15,285.67
6,8,1835.61,3883.14,3695.24,445.35,876.2,1073.55,3504.45,0,-100,-666.67,41.33,14546.87,174562.5,311.74
6,9,2025.5,4368.54,3858.51,445.35,898.21,1159.61,3920.36,0,-100,-750,44.96,15826.07,189912.89,345.17
6,10,2025.5,4853.93,4021.78,445.35,920.22,1226.68,4203.99,0,-100,-833.33,47.63,16764.1,201169.23,371.24
7,0,1265.94,0,2787.23,438.87,755.58,524.76,1491.36,0,0,0,20.64,7263.75,87164.96,84.91
7,1,1455.83,485.39,2950.51,445.35,777.59,611.47,1758.81,0,-50,-83.33,23.73,8351.6,100219.23,113.88
7,2,1455.83,970.79,3113.78,445.35,799.6,678.53,1938.72,0,-100,-166.67,25.95,9135.93,109631.12,136.31
7,3,1645.72,1456.18,3277.05,445.35,821.61,764.59,2223.11,0,-100,-250,29.21,10283.6,123403.24,191.86
7,4,1645.72,1941.57,3440.32,445.35,843.62,831.66,2429.66,0,-100,-333.33,31.66,11144.57,133734.79,217.94
7,5,1835.61,2426.96,3603.6,445.35,865.63,917.71,2845.58,0,-100,-416.67,35.29,12423.76,149085.18,251.36
7,6,1835.61,2912.36,3766.87,445.35,887.63,984.78,3129.2,0,-100,-500,37.96,13361.79,160341.52,277.43
7,7,2025.5,3397.75,3930.14,445.35,909.64,1070.84,3545.11,0,-100,-583.33,41.59,14640.99,175691.91,310.86
7,8,2025.5,3883.14,4093.41,445.35,931.65,1137.91,3828.73,0,-100,-666.67,44.26,15579.02,186948.26,336.93
7,9,2215.39,4368.54,4256.69,445.35,953.66,1223.96,4244.64,0,-100,-750,47.89,16858.22,202298.65,370.36
7,10,2215.39,4853.93,4419.96,445.35,975.67,1291.03,4528.26,0,-100,-833.33,50.56,17796.25,213554.99,404.31
8,0,1265.94,0,3185.41,438.87,811.03,570.13,1633.98,0,0,0,22.46,7905.35,94864.26,100.25
8,1,1455.83,485.39,3348.68,445.35,833.04,656.83,1901.42,0,-50,-83.33,25.55,8993.21,107918.53,129.22
8,2,1455.83,970.79,3511.96,445.35,855.05,723.9,2081.34,0,-100,-166.67,27.78,9777.53,117330.41,151.66
8,3,1645.72,1456.18,3675.23,445.35,877.06,809.95,2365.73,0,-100,-250,31.04,10925.21,131102.53,209.7
8,4,1645.72,1941.57,3838.5,445.35,899.07,877.02,2621.65,0,-100,-333.33,33.62,11835.54,142026.5,235.77
8,5,1835.61,2426.96,4001.77,445.35,921.08,963.08,3037.56,0,-100,-416.67,37.26,13114.74,157376.89,269.2
8,6,1835.61,2912.36,4165.05,445.35,943.09,1030.14,3321.18,0,-100,-500,39.92,14052.77,168633.23,295.27
8,7,2025.5,3397.75,4328.32,445.35,965.1,1116.2,3737.09,0,-100,-583.33,43.56,15331.97,183983.62,328.69
8,8,2025.5,3883.14,4491.59,445.35,987.1,1183.27,4020.71,0,-100,-666.67,46.22,16270,195239.97,354.77
8,9,2215.39,4368.54,4654.86,445.35,1009.11,1269.32,4436.63,0,-100,-750,49.86,17549.2,210590.36,388.19
8,10,2215.39,4853.93,4818.14,445.35,1031.12,1336.39,4720.25,0,-100,-833.33,52.52,18487.23,221846.7,435.47
9,0,1455.83,0,3583.59,438.87,866.49,634.48,1861.24,0,0,0,25.12,8840.48,106085.8,121.92
9,1,1645.72,485.39,3746.86,445.35,888.49,721.18,2128.68,0,-50,-83.33,28.21,9928.34,119140.07,150.89
9,2,1645.72,970.79,3910.13,445.35,910.5,788.25,2308.6,0,-100,-166.67,30.43,10712.66,128551.95,199.72
9,3,1835.61,1456.18,4073.4,445.35,932.51,874.3,2662.31,0,-100,-250,33.89,11929.66,143155.91,234.89
9,4,1835.61,1941.57,4236.68,445.35,954.52,941.37,2945.93,0,-100,-333.33,36.56,12867.69,154412.25,260.96
9,5,2025.5,2426.96,4399.95,445.35,976.53,1027.43,3361.84,0,-100,-416.67,40.19,14146.89,169762.64,294.38
9,6,2025.5,2912.36,4563.22,445.35,998.54,1094.5,3645.46,0,-100,-500,42.85,15084.92,181018.99,320.46
9,7,2215.39,3397.75,4726.49,445.35,1020.55,1180.55,4061.37,0,-100,-583.33,46.49,16364.11,196369.38,353.88
9,8,2215.39,3883.14,4889.77,445.35,1042.56,1247.62,4344.99,0,-100,-666.67,49.15,17302.14,207625.72,379.96
9,9,2405.28,4368.54,5053.04,445.35,1064.56,1333.68,4760.9,0,-100,-750,52.79,18581.34,222976.11,434.54
9,10,2405.28,4853.93,5216.31,445.35,1086.57,1400.74,5044.52,0,-100,-833.33,55.45,19519.37,234232.46,461.95
10,0,1455.83,0,3981.76,438.87,921.94,679.84,2003.85,0,0,0,26.94,9482.09,113785.09,137.27
10,1,1645.72,485.39,4145.03,445.35,943.95,766.54,2271.3,0,-50,-83.33,30.03,10569.95,126839.36,166.24
10,2,1645.72,970.79,4308.31,445.35,965.95,833.61,2451.21,0,-100,-166.67,32.26,11354.27,136251.25,219.3
10,3,1835.61,1456.18,4471.58,445.35,987.96,919.67,2854.29,0,-100,-250,35.85,12620.63,151447.62,252.72
10,4,1835.61,1941.57,4634.85,445.35,1009.97,986.74,3137.91,0,-100,-333.33,38.52,13558.66,162703.96,278.8
10,5,2025.5,2426.96,4798.13,445.35,1031.98,1072.79,3553.82,0,-100,-416.67,42.15,14837.86,178054.35,312.22
10,6,2025.5,2912.36,4961.4,445.35,1053.99,1139.86,3837.44,0,-100,-500,44.82,15775.89,189310.7,338.29
10,7,2215.39,3397.75,5124.67,445.35,1076,1225.92,4253.36,0,-100,-583.33,48.45,17055.09,204661.09,371.72
10,8,2215.39,3883.14,5287.94,445.35,1098.01,1292.98,4536.98,0,-100,-666.67,51.12,17993.12,215917.43,397.79
10,9,2405.28,4368.54,5451.22,445.35,1120.02,1379.04,4952.89,0,-100,-750,54.75,19272.32,231267.82,453.29
10,10,2405.28,4853.93,5614.49,445.35,1142.02,1446.11,5236.51,0,-100,-833.33,57.42,20210.35,242524.17,480.7
